1[2011-10-02 08:09:27]	ready     : 0.0094
[2011-10-02 08:09:27]	lineReady : 0.031
[2011-10-02 08:09:27]	dataCheck : 0.0007
[2011-10-02 08:09:27]	insPost   : 0.1883
[2011-10-02 08:09:27]	delMeta   : 0.0071
[2011-10-02 08:09:27]	addMeta   : 0.0061
[2011-10-02 08:09:27]	addOption : 0.0142
[2011-10-02 08:09:27]	addSku    : 0.0067
[2011-10-02 08:09:27]	oneline   : 0.2542
[2011-10-02 08:09:27]	finish    : 2.5513
[2011-10-02 08:09:27]	totalLines: 10
[2011-10-02 08:09:27]	--------------------------------------------------------------
[2011-10-02 18:20:08]	ready     : 0.0095
[2011-10-02 18:20:08]	lineReady : 0.0006
[2011-10-02 18:20:08]	dataCheck : 0.059
[2011-10-02 18:20:08]	insPost   : 0.2313
[2011-10-02 18:20:08]	delMeta   : 0.0069
[2011-10-02 18:20:08]	addMeta   : 0.0078
[2011-10-02 18:20:08]	addOption : 0.0224
[2011-10-02 18:20:08]	addSku    : 0.0065
[2011-10-02 18:20:08]	oneline   : 0.3344
[2011-10-02 18:20:08]	finish    : 3.3541
[2011-10-02 18:20:08]	totalLines: 10
[2011-10-02 18:20:08]	--------------------------------------------------------------
[2011-10-02 18:28:32]	ready     : 0.0029
[2011-10-02 18:28:32]	lineReady : 0.0006
[2011-10-02 18:28:32]	dataCheck : 0.0576
[2011-10-02 18:28:32]	insPost   : 0.2246
[2011-10-02 18:28:32]	delMeta   : 0.0063
[2011-10-02 18:28:32]	addMeta   : 0.0089
[2011-10-02 18:28:32]	addOption : 0.0139
[2011-10-02 18:28:32]	addSku    : 0.0037
[2011-10-02 18:28:32]	oneline   : 0.3155
[2011-10-02 18:28:32]	finish    : 31.5537
[2011-10-02 18:28:32]	totalLines: 100
[2011-10-02 18:28:32]	--------------------------------------------------------------
[2011-10-03 05:36:12]	ready     : 0.0028
[2011-10-03 05:36:12]	lineReady : 0.0006
[2011-10-03 05:36:12]	dataCheck : 0.0599
[2011-10-03 05:36:12]	insPost   : 0.0017
[2011-10-03 05:36:12]	delMeta   : 0.0065
[2011-10-03 05:36:12]	addMeta   : 0.142
[2011-10-03 05:36:12]	addOption : 0.0046
[2011-10-03 05:36:12]	addSku    : 0.0029
[2011-10-03 05:36:12]	oneline   : 0.2181
[2011-10-03 05:36:12]	finish    : 21.8132
[2011-10-03 05:36:12]	totalLines: 100
[2011-10-03 05:36:12]	--------------------------------------------------------------
[2011-10-03 14:55:49]	ready     : 0.0012
[2011-10-03 14:55:49]	lineReady : 0.0005
[2011-10-03 14:55:49]	dataCheck : 0.0616
[2011-10-03 14:55:49]	insPost   : 0.0016
[2011-10-03 14:55:49]	delMeta   : 0.0338
[2011-10-03 14:55:49]	addMeta   : 0.1078
[2011-10-03 14:55:49]	addOption : 0.0007
[2011-10-03 14:55:49]	addSku    : 0.002
[2011-10-03 14:55:49]	oneline   : 0.2081
[2011-10-03 14:55:49]	finish    : 20.8174
[2011-10-03 14:55:49]	totalLines: 100
[2011-10-03 14:55:49]	--------------------------------------------------------------
[2011-10-03 15:01:26]	ready     : 0.0014
[2011-10-03 15:01:26]	lineReady : 0.0006
[2011-10-03 15:01:26]	dataCheck : 0.0585
[2011-10-03 15:01:26]	insPost   : 0.0017
[2011-10-03 15:01:26]	delMeta   : 0.1432
[2011-10-03 15:01:26]	addMeta   : 0.0914
[2011-10-03 15:01:26]	addOption : 0.0007
[2011-10-03 15:01:26]	addSku    : 0.0016
[2011-10-03 15:01:26]	oneline   : 0.2977
[2011-10-03 15:01:26]	finish    : 29.7698
[2011-10-03 15:01:26]	totalLines: 100
[2011-10-03 15:01:26]	--------------------------------------------------------------
[2011-10-03 15:10:38]	ready     : 0.0013
[2011-10-03 15:10:38]	lineReady : 0.0005
[2011-10-03 15:10:38]	dataCheck : 0.059
[2011-10-03 15:10:38]	insPost   : 0.0016
[2011-10-03 15:10:38]	delMeta   : 0.0289
